Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
26.96,24,27.34,25.67,-3.26,0.01,0.1,10.21
34.5,24,28.33,26.16,-5.23,1.74,2.19,10.21
38.92,24,29.08,26.54,-4.42,3.26,4.49,10.21
43.52,24,29.53,26.76,-3.02,4.2,6.25,10.21
43.9,24,29.71,26.86,-2.05,4.49,4.01,10.21
45.64,24,29.91,26.96,-2.54,4.23,4.5,10.21
48.2,24,29.95,26.97,-2.13,3.68,4.63,10.21
46.14,24,29.93,26.97,-2.21,3.04,4.08,10.21
42.34,24,29.75,26.88,-1.55,2.41,2,10.21
37.74,24,29.4,26.7,-0.68,1.76,0.99,10.21
32.97,24,28.79,26.39,0.6,1.07,0.31,10.21
10.01,27.74,28.62,28.18,-0.94,-2.28,0,0
0.54,27.88,28.61,28.24,-0.96,-3.13,0,0
0.54,27.41,28.41,27.91,-0.64,-3.55,0,0
0.54,27.1,28.21,27.65,-0.46,-3.94,0,0
0.54,26.83,28,27.42,-0.32,-4.21,0,0
0.54,26.61,27.81,27.21,-0.21,-4.34,0,0
0.54,26.42,27.63,27.03,-0.12,-4.43,0,0
0.54,26.23,27.44,26.83,0,-4.46,0,0
0.54,26.03,27.25,26.64,0.11,-4.51,0,0
0.54,25.87,27.08,26.48,0.19,-4.43,0,0
0.54,23.99,26.76,25.38,1.12,-3.31,0,0
0.54,24,26.42,25.21,1.18,-3.01,0,0
20.74,24,26.45,25.22,-0.01,-2.08,0,10.21
26.07,24,26.81,25.4,-1.78,-0.24,0.11,10.21
34.26,24,27.89,25.95,-5.34,1.93,2.19,10.21
40.84,24,28.82,26.41,-5.22,3.97,5.07,10.21
45.95,24,29.38,26.69,-3.76,5.04,6.27,10.21
46.1,24,29.67,26.84,-2.81,5.2,5.96,10.21
46.45,24,29.79,26.9,-2.24,4.48,2.89,10.21
48.87,24,29.76,26.88,-2.09,3.56,4.14,10.21
47.01,24,29.6,26.8,-1.62,2.67,2.84,10.21
43.91,24,29.23,26.61,-0.85,2.15,2.63,10.21
38.06,24,29.06,26.53,-1.29,1.7,1.01,10.21
32.34,24,28.52,26.26,0.37,1.42,0.43,10.21
10.01,27.73,28.38,28.06,-1.06,-1.54,0,0
0.54,28.03,28.43,28.23,-1.17,-2.08,0,0
0.54,27.61,28.28,27.95,-0.91,-2.31,0,0
0.54,27.34,28.13,27.73,-0.76,-2.69,0,0
0.54,27.04,27.95,27.49,-0.59,-3.28,0,0
0.54,26.71,27.76,27.24,-0.43,-3.74,0,0
0.54,26.46,27.59,27.02,-0.31,-4.15,0,0
0.54,26.22,27.39,26.81,-0.16,-4.23,0,0
0.54,26.03,27.22,26.62,-0.07,-4.36,0,0
0.54,25.95,27.06,26.5,-0.01,-3.84,0,0
0.54,24.01,26.75,25.38,0.91,-2.64,0,0
0.54,24,26.41,25.21,0.99,-2.77,0,0
20.74,24,26.46,25.23,-0.31,-2.14,0,10.21
25.22,24,26.87,25.44,-2.22,-0.38,0.06,10.21
33.89,24,27.9,25.95,-5.36,1.75,2.11,10.21
39.64,24,28.81,26.4,-5.16,3.73,4.72,10.21
44.69,24,29.29,26.64,-3.5,4.7,5.91,10.21
44.58,24,29.58,26.79,-2.95,4.77,3.64,10.21
45.02,24,29.67,26.84,-2.29,4.03,3.44,10.21
45.18,24,29.69,26.85,-2.4,3.33,3.84,10.21
43.31,24,29.66,26.83,-2.34,2.78,4.23,10.21
40.71,24,29.58,26.79,-2.13,2.57,2.88,10.21
37.09,24,29.23,26.62,-0.92,2.16,0.67,10.21
32.47,24,28.64,26.32,0.23,1.48,0.44,10.21
10.01,27.66,28.44,28.05,-1.13,-2.15,0,0
0.54,27.66,28.42,28.04,-1.12,-3.29,0,0
0.54,27.12,28.19,27.66,-0.78,-4,0,0
0.54,26.77,27.99,27.38,-0.59,-4.36,0,0
0.54,26.55,27.79,27.17,-0.47,-4.49,0,0
0.54,26.41,27.6,27.01,-0.38,-4.14,0,0
0.54,26.38,27.45,26.91,-0.37,-3.73,0,0
0.54,26.36,27.32,26.84,-0.35,-3.25,0,0
0.54,26.29,27.2,26.75,-0.32,-3.22,0,0
0.54,25.91,27.03,26.47,-0.1,-4.37,0,0
0.54,25.46,26.79,26.12,0.22,-4.97,0,0
0.54,25.31,26.58,25.95,0.29,-4.63,0,0
0.54,25.29,26.51,25.9,-0.34,-4.29,0,0
0.54,25.73,26.96,26.35,-2.84,-3.45,0,0
0.54,26.8,27.83,27.32,-5.4,-2.64,0,0
0.54,28.26,28.99,28.63,-7.25,-1.79,0,0
0.54,29.27,29.78,29.53,-5.85,-1.27,0,0
0.54,30.1,30.48,30.29,-6,-1.11,0,0
0.54,30.71,31.12,30.92,-5.96,-1.53,0,0
0.54,31.06,31.56,31.31,-5.48,-1.94,0,0
0.54,30.95,31.48,31.22,-3.66,-2.38,0,0
0.54,30.69,31.44,31.07,-3.82,-2.68,0,0
0.54,30.4,31.25,30.82,-3.02,-3.3,0,0
0.54,29.84,30.81,30.32,-1.77,-3.47,0,0
0.54,29.43,30.48,29.95,-1.82,-3.67,0,0
0.54,29.17,30.22,29.7,-1.78,-3.46,0,0
0.54,29.01,30.02,29.52,-1.74,-3.5,0,0
0.54,28.73,29.8,29.26,-1.55,-3.71,0,0
0.54,28.31,29.53,28.92,-1.29,-4.66,0,0
0.54,27.75,29.22,28.48,-0.94,-5.6,0,0
0.54,27.24,28.89,28.07,-0.63,-6.56,0,0
0.54,26.83,28.57,27.7,-0.38,-6.67,0,0
0.54,26.63,28.3,27.46,-0.28,-6.5,0,0
0.54,26.56,28.07,27.31,-0.22,-5.48,0,0
0.54,26.66,27.92,27.29,-0.29,-4.51,0,0
0.54,26.76,27.8,27.28,-0.31,-3.47,0,0
0.54,27.06,27.87,27.47,-1.54,-2.08,0,0
0.54,27.99,28.78,28.39,-5.99,-0.94,0,0
0.54,29.63,30,29.82,-8.12,-0.5,0,0
0.54,30.7,30.87,30.78,-6.97,-0.05,0,0
