Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,27.07,27.92,27.49,-0.77,-2.8,0,0
0.54,26.97,27.8,27.38,-0.72,-2.8,0,0
0.54,26.86,27.67,27.27,-0.64,-2.7,0,0
0.54,26.75,27.55,27.15,-0.59,-2.8,0,0
0.54,26.51,27.41,26.96,-0.45,-3.28,0,0
0.54,26.26,27.24,26.75,-0.28,-3.4,0,0
0.54,26.17,27.1,26.63,-0.22,-3.12,0,0
0.54,26.18,27.05,26.61,-0.73,-2.77,0,0
0.54,26.61,27.51,27.06,-3.32,-2.14,0,0
0.54,27.73,28.54,28.13,-6.49,-1.71,0,0
0.54,29.08,29.59,29.33,-7.03,-1.2,0,0
0.54,30.05,30.33,30.19,-5.92,-0.84,0,0
0.54,30.77,30.98,30.87,-6.04,-0.73,0,0
0.54,31.34,31.62,31.48,-6.29,-1.17,0,0
0.54,31.71,32.16,31.93,-6.29,-1.75,0,0
0.54,31.71,32.33,32.02,-5.17,-2.41,0,0
0.54,31.59,32.42,32,-4.96,-2.96,0,0
0.54,31.18,32.05,31.61,-2.89,-3.43,0,0
0.54,30.59,31.59,31.09,-2.2,-3.63,0,0
0.54,30.13,31.24,30.68,-2.18,-3.87,0,0
0.54,29.78,30.94,30.36,-2.08,-3.95,0,0
0.54,29.47,30.65,30.06,-1.93,-4.14,0,0
0.54,29.15,30.39,29.77,-1.75,-4.4,0,0
0.54,28.8,30.14,29.47,-1.56,-4.94,0,0
0.54,28.42,29.86,29.14,-1.3,-5.36,0,0
0.54,28.07,29.57,28.82,-1.06,-5.62,0,0
0.54,27.82,29.29,28.56,-0.87,-5.4,0,0
0.54,27.68,29.06,28.37,-0.78,-5.04,0,0
0.54,27.42,28.83,28.13,-0.62,-5.4,0,0
0.54,27.06,28.58,27.82,-0.37,-5.8,0,0
0.54,26.84,28.35,27.59,-0.23,-5.67,0,0
0.54,26.79,28.22,27.51,-0.76,-5.06,0,0
0.54,27.25,28.67,27.96,-3.61,-4.01,0,0
0.54,28.45,29.71,29.08,-6.82,-3.11,0,0
0.54,29.72,30.71,30.21,-6.91,-2.24,0,0
0.54,30.63,31.33,30.98,-5.5,-1.7,0,0
0.54,31.33,31.95,31.64,-6.01,-1.74,0,0
0.54,31.79,32.48,32.14,-5.86,-2.36,0,0
0.54,31.98,32.85,32.41,-5.47,-3.11,0,0
0.54,31.76,32.71,32.23,-3.84,-3.67,0,0
0.54,31.59,32.8,32.2,-4.67,-4.11,0,0
0.54,31.33,32.51,31.92,-2.9,-4.39,0,0
0.54,30.86,32.03,31.44,-1.88,-4.48,0,0
0.54,30.41,31.65,31.03,-1.84,-4.65,0,0
0.54,29.98,31.34,30.66,-1.71,-4.88,0,0
0.54,29.6,31.03,30.31,-1.52,-5.25,0,0
0.54,29.21,30.71,29.96,-1.28,-5.56,0,0
0.54,28.86,30.4,29.63,-1.07,-5.81,0,0
0.54,28.56,30.11,29.33,-0.86,-5.83,0,0
0.54,28.32,29.85,29.08,-0.73,-5.78,0,0
0.54,28.12,29.62,28.87,-0.61,-5.65,0,0
0.54,27.88,29.37,28.63,-0.42,-5.68,0,0
0.54,27.55,29.11,28.33,-0.2,-6.04,0,0
1.67,24,28.52,26.26,1.71,-3.99,0,0
0.54,24,27.91,25.96,1.76,-3.69,0,0
20.74,24,27.76,25.88,0.61,-2.79,-1,10.21
23.83,24,27.92,25.96,-0.85,-1.03,-0.53,10.21
35.24,24,28.73,26.37,-3.58,0.99,1.27,10.21
43.6,24,29.29,26.64,-2.8,2.76,3.31,10.21
49.34,24,29.75,26.87,-2.66,3.6,3.77,10.21
49.09,24,29.94,26.97,-1.63,3.64,2.78,10.21
49.29,24,29.9,26.95,-1.1,3.05,2.67,10.21
51.1,24,29.99,26.99,-1.81,2.47,3.06,10.21
48.84,24,29.96,26.98,-1.49,2.02,2.66,10.21
46.16,24,29.76,26.88,-0.82,1.88,2.3,10.21
39.61,24,29.37,26.69,0.07,1.65,0.76,10.21
34.26,24,28.88,26.44,0.82,1.33,0.35,10.21
10.01,28.52,28.74,28.63,-0.74,-2.4,0,0
0.54,28.55,28.79,28.67,-0.8,-3.04,0,0
0.54,27.71,28.61,28.16,-0.39,-3.26,0,0
0.54,27.37,28.41,27.89,-0.21,-3.7,0,0
0.54,27.06,28.21,27.63,-0.06,-4.25,0,0
0.54,26.76,28.01,27.38,0.1,-4.61,0,0
0.54,26.49,27.8,27.14,0.24,-4.91,0,0
0.54,26.26,27.59,26.92,0.36,-4.97,0,0
0.54,26.06,27.4,26.73,0.44,-5.1,0,0
0.54,26.01,27.24,26.63,0.46,-4.33,0,0
0.67,24,26.94,25.47,1.44,-2.39,0,0
0.54,24,26.59,25.3,1.51,-2.17,0,0
20.74,24,26.63,25.32,0.13,-1.64,0,10.21
24.01,24,27.02,25.51,-1.42,-0.66,-0.1,10.21
33.41,24,27.67,25.84,-2.98,0.43,0.33,10.21
39.51,24,28.42,26.21,-3.74,1.5,1.68,10.21
43.94,24,28.9,26.45,-2.71,2.21,3.27,10.21
