Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
44.25,24,29.16,26.58,-2,2.51,1.35,10.21
44.9,24,29.32,26.66,-2.01,2.42,1.82,10.21
46.37,24,29.5,26.75,-2.38,2.19,3.14,10.21
45.66,24,29.53,26.77,-1.88,1.86,2.51,10.21
43.28,24,29.28,26.64,-0.87,1.58,1.65,10.21
38.85,24,28.96,26.48,-0.41,1.2,0.91,10.21
33.49,24,28.47,26.24,0.46,0.77,0.22,10.21
10.01,28.1,28.29,28.2,-0.83,-2.61,0,0
0.54,27.88,28.3,28.09,-0.84,-2.95,0,0
0.54,27.26,28.13,27.69,-0.54,-3.08,0,0
0.54,27,27.96,27.48,-0.41,-3.36,0,0
0.54,26.77,27.79,27.28,-0.29,-3.64,0,0
0.54,26.56,27.63,27.1,-0.19,-3.81,0,0
0.54,26.37,27.46,26.92,-0.08,-3.94,0,0
0.54,26.2,27.29,26.75,0.02,-3.88,0,0
0.54,26.07,27.14,26.6,0.08,-3.85,0,0
