Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
43.25,24,29.17,26.58,-3.18,3.51,3.35,10.21
43.58,24,29.39,26.7,-2.69,3.31,2.54,10.21
42.87,24,29.59,26.8,-3,2.84,2.4,10.21
39.62,24,29.39,26.69,-1.77,2.15,2.36,10.21
37.4,24,29.36,26.68,-2.38,1.61,1.61,10.21
35.96,24,29.03,26.51,-0.97,0.98,0.69,10.21
32.41,24,28.51,26.26,0.07,0.5,0.14,10.21
10.01,28.1,28.31,28.2,-1.14,-2.83,0,0
0.54,28.06,28.32,28.19,-1.18,-3.15,0,0
0.54,27.39,28.15,27.77,-0.91,-3.19,0,0
0.54,26.98,27.96,27.47,-0.7,-3.42,0,0
0.54,26.66,27.75,27.2,-0.52,-3.97,0,0
0.54,26.33,27.53,26.93,-0.32,-4.29,0,0
0.54,26.1,27.33,26.71,-0.23,-4.5,0,0
0.54,25.96,27.16,26.56,-0.16,-4.26,0,0
0.54,25.87,26.98,26.43,-0.09,-4.01,0,0
0.54,25.52,26.78,26.15,0.1,-4.88,0,0
0.54,23.94,26.43,25.19,0.92,-4.71,0,0
0.54,24,26.13,25.06,0.9,-4.65,0,0
20.74,24,26.15,25.07,-0.19,-3.95,0,10.21
21.26,24,26.45,25.22,-1.71,-2.59,-0.56,10.21
24.74,24,27.39,25.69,-4.66,-0.96,-1.07,10.21
35.76,24,28.05,26.03,-3.74,0.55,0.53,10.21
37.84,24,28.42,26.21,-2.76,1.42,1.62,10.21
38.69,24,28.78,26.39,-3.09,1.7,1.12,10.21
38.06,24,29.09,26.54,-3.06,1.5,1.41,10.21
36.43,24,29.34,26.67,-3.19,1.22,1.75,10.21
36.7,24,29.37,26.68,-2.47,0.98,0.99,10.21
37.76,24,29.09,26.55,-1.48,0.83,1.36,10.21
37.41,24,28.96,26.48,-1.84,0.51,0.16,10.21
31.61,24,28.45,26.22,0.02,0.08,0.02,10.21
10.01,27.89,28.19,28.04,-1.1,-3.31,0,0
0.54,27.74,28.14,27.94,-1.09,-3.94,0,0
0.54,26.79,27.9,27.35,-0.66,-4,0,0
0.54,26.48,27.68,27.08,-0.52,-4.26,0,0
0.54,26.23,27.45,26.84,-0.38,-4.41,0,0
0.54,26.02,27.25,26.64,-0.28,-4.44,0,0
0.54,25.83,27.07,26.45,-0.18,-4.52,0,0
0.54,25.62,26.86,26.24,-0.04,-4.56,0,0
0.54,25.38,26.66,26.02,0.1,-4.8,0,0
0.54,25.23,26.46,25.85,0.2,-4.38,0,0
0.54,25.14,26.29,25.71,0.23,-4.31,0,0
0.54,24.96,26.13,25.54,0.33,-4.24,0,0
0.54,24.99,26.07,25.53,-0.28,-3.56,0,0
0.54,25.55,26.62,26.08,-3.23,-2.48,0,0
0.54,26.86,27.71,27.29,-6.29,-1.61,0,0
0.54,28.24,28.71,28.47,-6.41,-0.98,0,0
0.54,29.25,29.55,29.4,-6.15,-0.78,0,0
0.54,29.85,30.14,30,-5.25,-1.07,0,0
0.54,30.1,30.52,30.31,-4.7,-1.63,0,0
0.54,30.29,30.95,30.62,-5.41,-2.26,0,0
0.54,30.46,31.29,30.87,-5.45,-2.73,0,0
0.54,30.67,31.55,31.11,-5.33,-2.93,0,0
0.54,30.53,31.31,30.92,-3.08,-2.9,0,0
0.54,30.1,30.89,30.5,-2.06,-2.96,0,0
0.54,29.58,30.51,30.05,-1.93,-3.43,0,0
0.54,29,30.18,29.59,-1.76,-4.3,0,0
0.54,28.43,29.85,29.14,-1.5,-5.28,0,0
0.54,27.93,29.5,28.71,-1.22,-5.92,0,0
0.54,27.56,29.17,28.37,-1,-6.05,0,0
0.54,27.35,28.89,28.12,-0.89,-5.69,0,0
0.54,27.25,28.66,27.96,-0.83,-5.11,0,0
0.54,27.17,28.46,27.81,-0.75,-4.66,0,0
0.54,27.01,28.27,27.64,-0.63,-4.62,0,0
0.54,26.55,28.01,27.28,-0.33,-6.02,0,0
0.54,25.97,27.68,26.82,0.09,-6.76,0,0
0.54,25.77,27.41,26.59,0.18,-6.28,0,0
0.54,25.81,27.32,26.57,-0.73,-5.35,0,0
0.54,26.54,27.98,27.26,-4.19,-4.06,0,0
0.54,27.74,28.89,28.31,-5.76,-2.88,0,0
0.54,28.95,29.75,29.35,-5.8,-1.87,0,0
0.54,29.94,30.51,30.23,-5.67,-1.49,0,0
0.54,30.63,31.12,30.87,-5.33,-1.55,0,0
0.54,31.04,31.65,31.34,-5.3,-2.02,0,0
0.54,31.38,32.14,31.76,-5.91,-2.51,0,0
0.54,31.58,32.48,32.03,-6.11,-2.96,0,0
0.54,31.9,32.93,32.41,-7.05,-3.41,0,0
0.54,31.8,32.81,32.31,-4.41,-3.87,0,0
0.54,31.28,32.31,31.8,-2.37,-4.19,0,0
0.54,30.62,31.78,31.2,-1.96,-4.68,0,0
0.54,30.03,31.39,30.71,-1.87,-5.08,0,0
0.54,29.55,31.04,30.29,-1.7,-5.52,0,0
0.54,29.14,30.71,29.92,-1.49,-5.78,0,0
0.54,28.78,30.4,29.59,-1.28,-6.11,0,0
0.54,28.43,30.09,29.26,-1.05,-6.32,0,0
0.54,28.09,29.8,28.94,-0.85,-6.64,0,0
0.54,27.73,29.49,28.61,-0.59,-6.84,0,0
0.54,27.37,29.16,28.27,-0.35,-7.1,0,0
0.54,26.99,28.84,27.92,-0.11,-7.4,0,0
0.74,23.95,28.27,26.11,1.47,-5.45,0,0
0.54,24,27.69,25.85,1.54,-4.89,0,0
20.74,24,27.63,25.82,-0.25,-3.72,-1.46,10.21
22.1,24,28.18,26.09,-2.88,-1.78,-1.19,10.21
31.74,24,28.93,26.47,-4.17,0.26,0.3,10.21
36.89,24,29.61,26.81,-3.88,2.06,2.4,10.21
39.61,24,29.95,26.98,-2.33,3.03,4.4,10.21
38.9,24,30.09,27.05,-1.71,3.35,3.31,10.21
38.83,24,30.13,27.06,-1.69,3.05,1.94,10.21
39.94,24,30.36,27.18,-2.94,2.7,3.59,10.21
39.22,24,30.46,27.23,-2.61,2.29,3.52,10.21
