Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,27.9,28.7,28.3,-0.77,-3.16,0,0
0.54,27.59,28.53,28.06,-0.53,-3.28,0,0
0.54,27.4,28.38,27.89,-0.42,-3.4,0,0
0.54,27.21,28.23,27.72,-0.32,-3.62,0,0
0.54,26.99,28.06,27.52,-0.17,-3.84,0,0
0.54,26.74,27.87,27.3,-0.03,-4.11,0,0
0.54,26.49,27.67,27.08,0.1,-4.35,0,0
0.54,26.25,27.49,26.87,0.2,-4.63,0,0
0.54,26.16,27.34,26.75,0.24,-4.13,0,0
0.73,24,27,25.5,1.32,-2.24,0,0
0.54,24,26.64,25.32,1.37,-1.98,0,0
20.74,24,26.71,25.36,-0.22,-1.47,0,10.21
24.98,24,27.22,25.61,-2.36,-0.52,-0.13,10.21
31.44,24,28,26,-3.99,0.57,0.62,10.21
35.38,24,28.63,26.31,-3.59,1.64,1.9,10.21
39.56,24,29.02,26.51,-2.58,2.25,3.19,10.21
41.41,24,29.2,26.6,-1.86,2.51,2.69,10.21
41.47,24,29.4,26.7,-2.27,2.33,2.5,10.21
41.17,24,29.59,26.8,-2.42,2.05,2.71,10.21
40.2,24,29.55,26.78,-1.9,1.68,2.29,10.21
40.2,24,29.56,26.78,-2.26,1.33,2.17,10.21
37.16,24,29.29,26.64,-1.02,0.89,0.52,10.21
32.63,24,28.68,26.34,0.57,0.47,0.13,10.21
10.01,28.16,28.47,28.31,-0.9,-2.93,0,0
0.54,27.95,28.46,28.2,-0.91,-3.19,0,0
0.54,27.34,28.26,27.8,-0.61,-3.23,0,0
0.54,27.1,28.1,27.6,-0.51,-3.45,0,0
0.54,26.87,27.93,27.4,-0.4,-3.8,0,0
0.54,26.62,27.74,27.18,-0.25,-4.04,0,0
0.54,26.39,27.55,26.97,-0.11,-4.21,0,0
0.54,26.21,27.36,26.79,-0.01,-4.13,0,0
0.54,26.09,27.2,26.65,0.04,-3.99,0,0
0.54,25.82,27.01,26.42,0.19,-4.52,0,0
0.54,23.97,26.65,25.31,1.15,-3.74,0,0
0.54,24,26.32,25.16,1.15,-3.36,0,0
20.74,24,26.42,25.21,-0.51,-2.21,0,10.21
25.94,24,26.98,25.49,-2.49,-0.37,0.05,10.21
33.34,24,27.67,25.84,-3.5,1.64,1.68,10.21
40.52,24,28.52,26.26,-4.5,3.35,4.72,10.21
46.37,24,29.08,26.54,-3.48,4.34,4.79,10.21
47.49,24,29.42,26.71,-2.83,4.67,4.29,10.21
48.68,24,29.68,26.84,-2.81,4.47,5.13,10.21
51.48,24,29.86,26.93,-2.86,4.11,4.66,10.21
49.79,24,29.93,26.97,-2.84,3.78,3.87,10.21
47.95,24,29.9,26.95,-2.54,3.49,3.59,10.21
40.61,24,29.63,26.82,-1.46,3.05,1.93,10.21
34.44,24,28.99,26.49,0.31,2.43,0.73,10.21
10.01,28.71,28.8,28.76,-1.37,-1.65,0,0
0.54,28.65,28.84,28.74,-1.42,-2.49,0,0
0.54,27.85,28.63,28.24,-1.07,-2.77,0,0
0.54,27.53,28.45,27.99,-0.92,-3.13,0,0
0.54,27.29,28.27,27.78,-0.8,-3.39,0,0
0.54,27.08,28.09,27.59,-0.68,-3.54,0,0
0.54,26.86,27.91,27.38,-0.55,-3.77,0,0
0.54,26.59,27.72,27.16,-0.41,-4.08,0,0
0.54,26.31,27.52,26.92,-0.25,-4.52,0,0
0.54,26.13,27.33,26.73,-0.13,-4.26,0,0
0.62,24,26.98,25.49,0.88,-2.92,0,0
0.54,24,26.61,25.31,0.95,-2.77,0,0
20.74,24,26.64,25.32,-0.42,-2,-0.2,10.21
27.6,24,27.1,25.55,-2.67,-0.16,-0.08,10.21
35.95,24,28.16,26.08,-5.68,1.98,2.57,10.21
45.61,24,28.95,26.47,-4.55,3.97,5.09,10.21
50.39,24,29.28,26.64,-2.69,4.88,6.49,10.21
48.89,24,29.57,26.79,-2.89,4.98,3.3,10.21
49.63,24,29.73,26.86,-2.44,4.36,3.67,10.21
54.31,24,29.84,26.92,-2.64,3.87,4.35,10.21
54.99,24,29.74,26.87,-2,3.42,4.92,10.21
55.69,24,29.55,26.78,-1.71,3.23,5.27,10.21
44.63,24,29.24,26.62,-1,2.71,1.57,10.21
37.08,24,28.72,26.36,0.07,2.13,0.7,10.21
10.01,28.5,28.57,28.54,-1.36,-1.84,0,0
0.54,28.42,28.62,28.52,-1.37,-2.4,0,0
0.54,27.72,28.44,28.08,-1.06,-2.55,0,0
0.54,27.46,28.29,27.88,-0.93,-2.77,0,0
0.54,27.24,28.15,27.69,-0.84,-3.24,0,0
0.54,26.97,27.97,27.47,-0.66,-3.53,0,0
0.54,26.71,27.78,27.24,-0.51,-3.87,0,0
0.54,26.49,27.59,27.04,-0.38,-3.85,0,0
0.54,26.33,27.43,26.88,-0.32,-4.02,0,0
0.54,26.3,27.3,26.8,-0.28,-3.28,0,0
0.97,24,26.99,25.49,0.78,-1.51,0,0
0.54,24,26.62,25.31,0.88,-1.62,0,0
20.74,24,26.66,25.33,-0.48,-1.28,0,10.21
28.31,24,27.05,25.52,-2.22,-0.17,0.05,10.21
35.42,24,27.83,25.92,-3.99,1.22,1.64,10.21
42.25,24,28.34,26.17,-3.12,2.59,2.79,10.21
48.32,24,28.9,26.45,-3.7,3.33,3.98,10.21
47.6,24,29.25,26.62,-3.03,3.62,3.66,10.21
46.06,24,29.51,26.76,-2.94,3.43,2.33,10.21
46.16,24,29.75,26.87,-3.14,3.26,5.31,10.21
42.31,24,29.71,26.86,-2.39,3,3.64,10.21
40.89,24,29.66,26.83,-2.38,2.77,3.68,10.21
37.36,24,29.3,26.65,-1,2.13,1.28,10.21
32.91,24,28.73,26.36,0.1,1.35,0.42,10.21
10.01,27.7,28.51,28.11,-1.18,-2.15,0,0
0.54,27.82,28.49,28.15,-1.22,-2.87,0,0
0.54,27.43,28.31,27.87,-0.98,-2.99,0,0
0.54,27.28,28.17,27.72,-0.91,-2.91,0,0
0.54,27.19,28.05,27.62,-0.87,-2.95,0,0
