Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
20.91,24,28.33,26.16,-0.25,-1.87,-0.44,10.21
28.55,24,29,26.5,-3.75,-0.18,-0.06,10.21
36.09,24,29.74,26.87,-4.46,1.57,1.82,10.21
40.39,24,30.3,27.15,-3.83,3.18,3.74,10.21
43.3,24,30.57,27.28,-2.51,4.2,6.58,10.21
40.84,24,30.73,27.36,-2.13,4.62,2.57,10.21
42.62,24,30.82,27.41,-1.79,4.47,4.17,10.21
44.5,24,30.79,27.39,-1.53,4.13,5.27,10.21
42.19,24,30.75,27.38,-1.87,3.6,3.83,10.21
40.51,24,30.65,27.32,-1.53,3.1,3.19,10.21
34.66,24,30.22,27.11,-0.06,2.43,1.35,10.21
31.51,24,29.49,26.75,1.41,1.69,0.48,10.21
10.01,28.23,29.3,28.77,-0.63,-2.12,0,0
0.54,28.54,29.33,28.94,-0.72,-3.16,0,0
0.54,28.12,29.16,28.64,-0.42,-3.79,0,0
0.54,27.76,28.97,28.36,-0.22,-4.43,0,0
0.54,27.4,28.76,28.08,-0.02,-5.14,0,0
0.54,27.03,28.52,27.77,0.2,-5.74,0,0
0.54,26.68,28.26,27.47,0.4,-6.17,0,0
0.54,26.4,28.01,27.21,0.55,-6.22,0,0
0.54,26.2,27.78,26.99,0.64,-6.12,0,0
0.54,26.15,27.58,26.86,0.66,-5.26,0,0
0.54,24,27.23,25.61,1.76,-3.68,0,0
0.54,24,26.83,25.41,1.83,-3.95,0,0
20.74,24,26.83,25.41,0.45,-3.86,-0.59,10.21
21.26,24,27.25,25.63,-1.68,-2.52,-1.28,10.21
28.3,24,28.21,26.11,-4.46,-0.36,-0.43,10.21
36.68,24,29.06,26.53,-4.32,2.3,2.77,10.21
41.81,24,29.61,26.8,-3.33,4.34,5.06,10.21
41.29,24,29.94,26.97,-2.75,5.53,4.41,10.21
42.74,24,30.26,27.13,-2.72,5.53,3.95,10.21
46.53,24,30.28,27.14,-1.62,4.99,7.11,10.21
42.95,24,30.01,27.01,-0.83,3.98,4.68,10.21
39.53,24,29.59,26.8,-0.2,3.07,3.92,10.21
35.67,24,29.32,26.66,-0.44,2.13,0.98,10.21
31.91,24,28.78,26.39,0.84,1.49,0.5,10.21
10.01,28.5,28.66,28.58,-0.85,-2.16,0,0
0.54,28.49,28.74,28.61,-0.91,-2.45,0,0
0.54,27.86,28.59,28.23,-0.6,-2.62,0,0
0.54,27.53,28.43,27.98,-0.42,-3.17,0,0
0.54,27.13,28.24,27.69,-0.22,-4.17,0,0
0.54,26.7,28.02,27.36,0.03,-4.93,0,0
0.54,26.36,27.79,27.07,0.2,-5.46,0,0
0.54,26.13,27.56,26.85,0.33,-5.28,0,0
0.54,26.02,27.37,26.7,0.35,-5.01,0,0
0.54,25.91,27.2,26.55,0.41,-4.71,0,0
0.54,24,26.88,25.44,1.36,-3.14,0,0
0.54,24,26.54,25.27,1.4,-2.65,0,0
20.75,24,26.65,25.33,-0.38,-1.59,0,10.21
