Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,25.55,26.65,26.1,-0.09,-3.91,0,0
0.54,25.5,26.51,26,-0.07,-3.54,0,0
0.54,25.5,26.4,25.95,-0.08,-3.08,0,0
0.54,25.66,26.44,26.05,-0.95,-2.27,0,0
0.54,26.34,27.14,26.74,-4.41,-1.32,0,0
0.54,27.75,28.28,28.02,-7.39,-0.45,0,0
0.54,29.36,29.43,29.39,-7.97,0.39,0,0
0.54,30.63,30.34,30.49,-7.16,1.12,0,0
0.54,31.54,31.15,31.34,-6.96,1.33,0,0
0.54,32.11,31.83,31.97,-6.45,0.87,0,0
0.54,32.26,32.08,32.17,-5.11,-0.09,0,0
0.54,32.15,32.32,32.24,-5.61,-1.28,0,0
0.54,31.71,32.19,31.95,-4.06,-2.3,0,0
0.54,31.08,31.78,31.43,-2.78,-2.94,0,0
0.54,30.48,31.34,30.91,-2.31,-3.23,0,0
0.54,30.02,31.01,30.52,-2.31,-3.42,0,0
0.54,29.65,30.73,30.19,-2.2,-3.75,0,0
0.54,29.27,30.46,29.86,-2.01,-4.24,0,0
0.54,28.84,30.16,29.5,-1.75,-4.84,0,0
0.54,28.43,29.88,29.15,-1.51,-5.36,0,0
0.54,28.07,29.58,28.83,-1.27,-5.69,0,0
0.54,27.77,29.29,28.53,-1.05,-5.71,0,0
0.54,27.55,29.04,28.3,-0.91,-5.54,0,0
0.54,27.39,28.82,28.1,-0.81,-5.27,0,0
0.54,27.05,28.55,27.8,-0.56,-6.12,0,0
0.54,26.62,28.25,27.44,-0.24,-6.25,0,0
0.54,26.56,28.04,27.3,-0.24,-5.46,0,0
0.54,26.69,28.01,27.35,-1.39,-4.35,0,0
0.54,27.51,28.86,28.19,-5.88,-3.21,0,0
0.54,29.06,30.08,29.57,-8.41,-2.39,0,0
0.54,30.54,31.08,30.81,-7.93,-1.59,0,0
0.54,31.62,31.84,31.73,-7.09,-0.89,0,0
0.54,32.41,32.55,32.48,-7.06,-0.45,0,0
0.54,33.2,33.28,33.24,-7.56,-0.59,0,0
0.54,33.78,34.02,33.9,-8.31,-1.01,0,0
0.54,34.14,34.49,34.31,-7.44,-1.68,0,0
0.54,33.84,34.23,34.04,-4.25,-2.18,0,0
0.54,33.29,33.93,33.61,-3.9,-2.87,0,0
0.54,32.57,33.4,32.98,-2.59,-3.63,0,0
0.54,31.9,32.98,32.44,-2.62,-4.51,0,0
0.54,31.18,32.6,31.89,-2.39,-5.3,0,0
0.54,30.61,32.23,31.42,-2.12,-6.12,0,0
0.54,30.12,31.85,30.99,-1.81,-6.77,0,0
0.54,29.62,31.47,30.54,-1.49,-7.29,0,0
0.54,29.17,31.1,30.13,-1.21,-7.62,0,0
0.54,28.76,30.72,29.74,-0.93,-7.84,0,0
0.54,28.4,30.36,29.38,-0.68,-7.87,0,0
0.54,28.09,30.02,29.06,-0.47,-7.75,0,0
0.54,27.9,29.73,28.82,-0.34,-7.14,0,0
1.07,24.01,29.08,26.55,1.77,-3.88,0,0
0.54,24,28.41,26.21,1.84,-3.07,0,0
