Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,27.78,28.16,27.97,-1.32,-3.54,0,0
0.54,26.93,27.93,27.43,-0.91,-3.69,0,0
0.54,26.57,27.72,27.14,-0.73,-4.11,0,0
0.54,26.25,27.51,26.88,-0.57,-4.64,0,0
0.54,25.91,27.27,26.59,-0.35,-5.08,0,0
0.54,25.56,27.03,26.29,-0.15,-5.59,0,0
0.54,25.21,26.77,25.99,0.06,-6.03,0,0
0.54,24.85,26.51,25.68,0.26,-6.55,0,0
0.54,24.86,26.31,25.58,0.28,-4.97,0,0
0.54,23.99,26.11,25.05,0.56,-3.18,0,0
0.54,24,25.89,24.95,0.63,-2.54,0,0
20.74,24,26.1,25.05,-1.39,-1.51,-0.04,10.21
27.16,24,26.99,25.49,-4.84,0.27,0.2,10.21
34.75,24,27.98,25.99,-5.9,2.07,2.66,10.21
38.95,24,28.65,26.33,-4.69,3.61,4.41,10.21
40.25,24,29.04,26.52,-3.54,4.14,3.52,10.21
41.56,24,29.3,26.65,-3.11,4,3.96,10.21
41.6,24,29.35,26.67,-2.32,3.25,2.37,10.21
41.72,24,29.2,26.6,-2,2.73,4.12,10.21
41.03,24,29.33,26.66,-3.16,2.31,2.83,10.21
41.5,24,29.41,26.71,-3.1,2.24,3.65,10.21
36.96,24,29.16,26.58,-1.59,1.89,1.04,10.21
32.04,24,28.51,26.26,0.13,1.38,0.46,10.21
10.01,28.18,28.32,28.25,-1.37,-2.43,0,0
0.54,27.85,28.29,28.07,-1.33,-3.11,0,0
0.54,27.07,28.05,27.56,-0.96,-3.58,0,0
0.54,26.67,27.82,27.25,-0.75,-4.15,0,0
0.54,26.29,27.58,26.94,-0.54,-4.85,0,0
0.54,25.93,27.34,26.63,-0.33,-5.25,0,0
0.54,25.66,27.11,26.39,-0.2,-5.51,0,0
0.54,25.48,26.9,26.19,-0.08,-5.26,0,0
0.54,25.39,26.72,26.05,-0.03,-4.91,0,0
0.54,25.37,26.56,25.97,-0.01,-4.17,0,0
0.54,24,26.34,25.17,0.6,-2.72,0,0
0.54,24,26.1,25.05,0.65,-2.09,0,0
21.16,24,26.25,25.12,-1.13,-1.09,0,10.21
28.67,24,26.93,25.46,-3.43,0.42,0.28,10.21
34.21,24,27.62,25.81,-4.13,2.07,2.75,10.21
38.48,24,28.49,26.25,-5.31,3.53,4.08,10.21
41.14,24,28.98,26.49,-3.63,4.3,5.83,10.21
41.96,24,29.22,26.61,-2.9,4.49,3.43,10.21
43.93,24,29.46,26.73,-3.28,4.06,3.12,10.21
47.88,24,29.52,26.76,-2.57,3.46,4.55,10.21
45.85,24,29.16,26.58,-1.15,2.75,3.25,10.21
43.02,24,28.87,26.44,-1.33,2.2,2.76,10.21
37.91,24,28.74,26.37,-1.64,1.62,1.17,10.21
32,24,28.24,26.12,-0.04,1.11,0.35,10.21
10.01,28.06,28.1,28.08,-1.34,-2.27,0,0
0.54,28,28.12,28.06,-1.31,-2.71,0,0
0.54,27.17,27.93,27.55,-0.99,-2.67,0,0
0.54,26.89,27.76,27.32,-0.85,-2.97,0,0
0.54,26.62,27.58,27.1,-0.71,-3.43,0,0
0.54,26.32,27.39,26.86,-0.55,-3.82,0,0
0.54,26.06,27.2,26.63,-0.4,-4.18,0,0
0.54,25.83,27,26.41,-0.25,-4.23,0,0
0.54,25.66,26.82,26.24,-0.17,-4.21,0,0
