Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
48.83,24,29.03,26.51,-2.01,2.58,1.59,10.21
49.16,24,29.05,26.52,-1.6,2.42,2.62,10.21
51.06,24,29.29,26.65,-2.59,2.13,3.47,10.21
48.77,24,29.34,26.67,-2.07,1.77,2.36,10.21
47.12,24,29.3,26.65,-1.85,1.45,2.05,10.21
40.37,24,28.94,26.47,-0.45,1.06,0.35,10.21
34.24,24,28.42,26.21,0.36,0.58,0.2,10.21
10.01,28.06,28.25,28.16,-0.94,-2.81,0,0
0.54,27.97,28.25,28.11,-0.95,-3.31,0,0
0.54,27.14,28.07,27.6,-0.61,-3.27,0,0
0.54,26.89,27.89,27.39,-0.47,-3.44,0,0
0.54,26.72,27.73,27.23,-0.39,-3.53,0,0
0.54,26.56,27.57,27.07,-0.3,-3.46,0,0
0.54,26.44,27.41,26.93,-0.23,-3.35,0,0
0.54,26.35,27.28,26.82,-0.2,-3.2,0,0
0.54,26.25,27.15,26.7,-0.14,-3.16,0,0
0.54,26.01,26.99,26.5,-0.01,-3.58,0,0
0.54,24,26.65,25.32,1.01,-2.85,0,0
0.54,24,26.3,25.15,1.05,-3.02,0,0
20.74,24,26.32,25.16,-0.1,-2.88,0,10.21
21.26,24,26.54,25.27,-0.93,-1.8,-0.37,10.21
27.92,24,27.17,25.58,-3.07,-0.15,-0.07,10.21
34.23,24,28.13,26.07,-4.89,1.71,2.44,10.21
39.43,24,28.77,26.39,-3.89,2.93,3.51,10.21
