Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,27.98,29.26,28.62,-4.89,-2.83,0,0
0.54,29.65,30.49,30.07,-8.16,-1.24,0,0
0.54,31.29,31.61,31.45,-8.1,0.12,0,0
0.54,32.62,32.55,32.58,-7.32,0.66,0,0
0.54,33.36,33.21,33.28,-6.31,0.53,0,0
0.54,33.66,33.63,33.65,-5.65,-0.31,0,0
0.54,33.66,33.82,33.74,-5.05,-1.26,0,0
0.54,33.31,33.65,33.48,-4.01,-2.03,0,0
0.54,33.04,33.79,33.42,-5.1,-2.55,0,0
0.54,32.72,33.44,33.08,-2.97,-2.98,0,0
0.54,32.18,33.04,32.61,-2.55,-3.24,0,0
0.54,31.65,32.7,32.18,-2.44,-3.74,0,0
0.54,31.15,32.37,31.76,-2.23,-4.31,0,0
0.54,30.67,32.05,31.36,-2,-5.07,0,0
0.54,30.2,31.73,30.97,-1.73,-5.71,0,0
0.54,29.77,31.4,30.58,-1.45,-6.28,0,0
0.54,29.36,31.07,30.21,-1.17,-6.57,0,0
0.54,29.02,30.75,29.88,-0.95,-6.74,0,0
0.54,28.73,30.45,29.59,-0.76,-6.7,0,0
0.54,28.45,30.17,29.31,-0.57,-6.77,0,0
0.54,28.11,29.87,28.99,-0.32,-6.93,0,0
1.38,24.01,29.18,26.6,1.92,-4.25,0,0
0.54,24,28.49,26.24,1.97,-3.74,0,0
20.74,24,28.36,26.18,0.19,-2.6,-0.71,10.21
27.06,24,28.83,26.42,-2.49,-0.7,-0.22,10.21
35.65,24,29.59,26.79,-4.16,1.41,1.64,10.21
40.82,24,30.23,27.12,-3.94,3.35,3.89,10.21
44.89,24,30.63,27.31,-2.77,4.59,6.92,10.21
45.29,24,30.8,27.4,-1.79,5.13,5.22,10.21
48.98,24,30.73,27.36,-0.79,4.97,5.27,10.21
56.72,24,30.55,27.27,-0.81,4.48,6.41,10.21
56.28,24,30.44,27.22,-1.03,3.7,3.83,10.21
52.99,24,30.12,27.06,-0.27,2.86,2.95,10.21
42.06,24,29.73,26.87,0.2,1.85,1.08,10.21
35.24,24,29.17,26.59,1.15,0.91,0.19,10.21
10.01,28.58,29.02,28.8,-0.59,-3.09,0,0
0.54,28.43,29.07,28.75,-0.58,-3.54,0,0
0.54,27.89,28.89,28.39,-0.25,-3.56,0,0
0.54,27.7,28.75,28.23,-0.17,-3.63,0,0
0.54,27.54,28.61,28.07,-0.09,-3.85,0,0
0.54,27.31,28.45,27.88,0.04,-4.14,0,0
0.54,27.05,28.28,27.67,0.18,-4.6,0,0
0.54,26.74,28.08,27.41,0.36,-4.99,0,0
0.54,26.45,27.86,27.16,0.51,-5.42,0,0
0.54,26.18,27.65,26.91,0.65,-5.64,0,0
0.54,23.98,27.26,25.62,1.78,-4.36,0,0
0.54,24,26.85,25.42,1.81,-4.22,0,0
20.74,24,26.81,25.4,0.7,-3.26,0,10.21
21.44,24,27.06,25.53,-0.91,-1.74,-0.46,10.21
30.6,24,28.03,26.01,-4.29,-0.12,-0.1,10.21
40.36,24,28.76,26.38,-3.72,1.19,1.5,10.21
45.41,24,29.14,26.57,-2.37,1.96,2.17,10.21
46.74,24,29.34,26.67,-1.77,2.16,2.64,10.21
46.31,24,29.5,26.75,-1.77,1.99,1.51,10.21
46.3,24,29.53,26.77,-1.62,1.76,1.19,10.21
46.16,24,29.65,26.83,-2.12,1.6,1.29,10.21
45.3,24,29.52,26.76,-1.04,1.51,2.31,10.21
39.18,24,29.08,26.54,0.13,1.32,0.73,10.21
33.42,24,28.61,26.31,0.67,0.83,0.15,10.21
10.01,28.2,28.44,28.32,-0.68,-2.83,0,0
0.54,28.04,28.44,28.24,-0.67,-3.66,0,0
0.54,27.15,28.22,27.68,-0.21,-3.85,0,0
0.54,26.86,28.01,27.44,-0.09,-4.1,0,0
0.54,26.69,27.83,27.26,-0.02,-4.04,0,0
0.54,26.58,27.67,27.13,0.02,-3.85,0,0
0.54,26.46,27.52,26.99,0.08,-3.76,0,0
0.54,26.27,27.35,26.81,0.19,-3.96,0,0
0.54,25.98,27.17,26.58,0.34,-4.48,0,0
0.54,25.91,27.02,26.46,0.39,-3.73,0,0
0.61,24.02,26.74,25.38,1.28,-1.99,0,0
0.54,24,26.43,25.21,1.33,-1.95,0,0
20.74,24,26.47,25.24,0.03,-1.57,0,10.21
23.81,24,26.84,25.42,-1.51,-0.65,-0.01,10.21
37.25,24,27.6,25.8,-3.52,0.47,0.44,10.21
43.86,24,28.31,26.15,-3.56,1.6,1.93,10.21
48.83,24,28.78,26.39,-2.77,2.32,2.81,10.21
