Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,25.89,26.99,26.44,0.16,-4,0,0
0.54,24,26.66,25.33,1.12,-2.9,0,0
0.54,24,26.32,25.16,1.16,-2.91,0,0
20.74,24,26.36,25.18,-0.14,-2.4,-0.11,10.21
21.28,24,26.66,25.33,-1.18,-1.49,-0.68,10.21
27.56,24,27.18,25.59,-2.58,-0.25,-0.36,10.21
32.5,24,28.06,26.03,-4.45,0.95,1.01,10.21
36.89,24,28.62,26.31,-3.15,2,2.87,10.21
39.85,24,28.87,26.43,-2.2,2.59,2.35,10.21
41.68,24,29.21,26.61,-3,2.8,2.9,10.21
40.99,24,29.36,26.68,-2.31,2.6,3.17,10.21
39.05,24,29.38,26.69,-2.34,2.24,2.26,10.21
36.79,24,29.46,26.73,-2.77,1.81,1.46,10.21
35.19,24,29.25,26.63,-1.53,1.42,0.89,10.21
31.01,24,28.65,26.33,0.31,0.91,0.29,10.21
10.01,28.18,28.4,28.29,-1.06,-2.64,0,0
0.54,27.89,28.39,28.14,-1.08,-3.35,0,0
0.54,27.12,28.15,27.64,-0.69,-3.75,0,0
0.54,26.77,27.93,27.35,-0.53,-4.22,0,0
0.54,26.51,27.72,27.11,-0.38,-4.33,0,0
0.54,26.36,27.54,26.95,-0.32,-4.16,0,0
0.54,26.28,27.38,26.83,-0.28,-3.83,0,0
0.54,26.2,27.24,26.72,-0.24,-3.68,0,0
0.54,26.06,27.09,26.57,-0.15,-3.7,0,0
0.54,25.82,26.92,26.37,-0.02,-4.08,0,0
0.54,23.98,26.59,25.28,0.92,-3.26,0,0
0.54,24,26.25,25.13,0.94,-3.25,0,0
20.74,24,26.33,25.16,-0.58,-2.68,0,10.21
21.57,24,26.83,25.42,-2.61,-1.51,-0.1,10.21
29.06,24,27.64,25.82,-4.22,-0.03,0,10.21
33.54,24,28.3,26.15,-3.87,1.4,1.49,10.21
36.33,24,28.87,26.43,-3.74,2.33,2.77,10.21
37.04,24,29.23,26.61,-3.17,2.71,2.97,10.21
38.26,24,29.49,26.74,-2.96,2.57,2.9,10.21
36.95,24,29.49,26.75,-2.38,2.19,2.96,10.21
36.15,24,29.65,26.82,-3.23,1.74,2.51,10.21
34.83,24,29.47,26.74,-1.97,1.35,0.99,10.21
31.32,24,29.23,26.62,-1.54,0.93,0.63,10.21
29.08,24,28.63,26.32,0.19,0.4,0.14,10.21
10.01,28.07,28.4,28.23,-1.17,-3.18,0,0
0.54,27.95,28.37,28.16,-1.17,-4.01,0,0
0.54,26.96,28.11,27.54,-0.71,-4.21,0,0
0.54,26.6,27.87,27.23,-0.53,-4.59,0,0
0.54,26.34,27.64,26.99,-0.39,-4.73,0,0
0.54,26.17,27.42,26.8,-0.29,-4.51,0,0
0.54,26.04,27.24,26.64,-0.23,-4.33,0,0
0.54,25.89,27.07,26.48,-0.15,-4.32,0,0
0.54,25.71,26.9,26.31,-0.05,-4.35,0,0
0.54,25.61,26.75,26.18,0.02,-4.06,0,0
0.54,23.98,26.46,25.22,0.82,-3.19,0,0
0.54,24,26.14,25.07,0.88,-3.23,0,0
20.74,24,26.26,25.13,-0.8,-2.65,0,10.21
23.34,24,26.93,25.47,-3.63,-0.98,-0.11,10.21
32.94,24,27.98,25.99,-5.87,1.22,1.65,10.21
39.04,24,28.76,26.38,-4.77,3.47,5.33,10.21
42.99,24,29.24,26.62,-3.55,4.9,6.13,10.21
44.26,24,29.54,26.77,-3,5.53,6.35,10.21
45.58,24,29.81,26.91,-3.16,5.3,3.74,10.21
49.18,24,30.07,27.04,-3.5,4.94,7.03,10.21
44.44,24,30.18,27.09,-3.33,4.46,2.79,10.21
42.74,24,30.19,27.1,-3.14,4.09,5.82,10.21
35,24,29.83,26.91,-1.46,3.44,1.45,10.21
31.16,24,29.16,26.58,0.05,2.65,0.75,10.21
10.01,28.12,28.9,28.51,-1.44,-1.33,0,0
0.54,28.37,28.91,28.64,-1.56,-2.62,0,0
0.54,27.78,28.7,28.24,-1.23,-3.34,0,0
0.54,27.38,28.49,27.93,-1,-3.93,0,0
0.54,27.02,28.26,27.64,-0.8,-4.5,0,0
0.54,26.73,28.03,27.38,-0.63,-4.69,0,0
0.54,26.53,27.83,27.18,-0.53,-4.76,0,0
0.54,26.38,27.63,27.01,-0.43,-4.45,0,0
0.54,26.29,27.47,26.88,-0.4,-4.31,0,0
0.54,25.96,27.28,26.62,-0.2,-5.12,0,0
0.54,25.58,27.02,26.3,0.09,-5.47,0,0
0.54,25.48,26.82,26.15,0.14,-4.84,0,0
0.54,25.62,26.81,26.21,-0.89,-3.83,0,0
0.54,26.41,27.56,26.99,-4.65,-2.43,0,0
0.54,28.02,28.68,28.35,-7.03,-1.26,0,0
0.54,29.49,29.81,29.65,-7.49,-0.07,0,0
0.54,30.75,30.69,30.72,-6.53,0.44,0,0
0.54,31.62,31.48,31.55,-6.52,0.43,0,0
0.54,32.1,32.11,32.1,-6.07,-0.11,0,0
0.54,32.44,32.54,32.49,-5.91,-0.73,0,0
0.54,32.42,32.63,32.52,-5.08,-1.33,0,0
0.54,32.42,32.93,32.68,-6.23,-1.8,0,0
0.54,32.28,32.85,32.56,-4.47,-2.36,0,0
0.54,31.74,32.34,32.04,-2.55,-2.62,0,0
0.54,31.17,31.94,31.55,-2.54,-3.02,0,0
0.54,30.66,31.63,31.15,-2.48,-3.36,0,0
0.54,30.23,31.34,30.79,-2.33,-3.96,0,0
0.54,29.78,31.05,30.41,-2.08,-4.56,0,0
0.54,29.32,30.74,30.03,-1.8,-5.46,0,0
0.54,28.79,30.41,29.6,-1.45,-6.2,0,0
0.54,28.32,30.07,29.19,-1.16,-6.87,0,0
0.54,27.91,29.72,28.81,-0.87,-7.04,0,0
0.54,27.6,29.39,28.49,-0.67,-7.03,0,0
0.54,27.38,29.1,28.24,-0.53,-6.58,0,0
0.54,27.2,28.84,28.02,-0.42,-6.39,0,0
0.54,27.06,28.62,27.84,-0.3,-5.85,0,0
0.54,27.19,28.57,27.88,-1.17,-4.63,0,0
