Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
49.07,24,29.26,26.63,-1.45,2.17,1.76,10.21
42.6,24,28.88,26.44,-0.5,1.62,0.55,10.21
35.34,24,28.39,26.2,0.17,0.94,0.25,10.21
10.01,28.04,28.24,28.14,-1.08,-2.76,0,0
0.54,27.72,28.24,27.98,-1.02,-3.37,0,0
0.54,27.02,28.02,27.52,-0.64,-3.64,0,0
0.54,26.72,27.81,27.27,-0.46,-3.81,0,0
0.54,26.55,27.64,27.09,-0.4,-3.79,0,0
0.54,26.46,27.5,26.98,-0.38,-3.57,0,0
0.54,26.39,27.36,26.87,-0.33,-3.38,0,0
0.54,26.28,27.21,26.75,-0.25,-3.23,0,0
0.54,26.14,27.08,26.61,-0.19,-3.37,0,0
0.54,25.7,26.88,26.29,0.07,-4.87,0,0
0.54,23.92,26.5,25.21,1.02,-4.93,0,0
0.54,24,26.18,25.09,0.98,-4.86,0,0
20.74,24,26.26,25.13,-0.61,-3.95,0,10.21
21.32,24,26.84,25.42,-3.05,-2.06,-0.4,10.21
29.89,24,27.81,25.9,-5.18,0.2,0.27,10.21
36.19,24,28.6,26.3,-4.83,2.34,3.23,10.21
40.37,24,29.17,26.59,-4.14,3.66,4.45,10.21
42.46,24,29.5,26.75,-3.28,4.15,3.27,10.21
43.2,24,29.62,26.81,-2.42,3.88,3.35,10.21
45.22,24,29.65,26.82,-2.55,3.32,5.18,10.21
43.36,24,29.64,26.82,-2.57,2.66,3.19,10.21
41.23,24,29.53,26.76,-2.03,2.17,2.18,10.21
36.74,24,28.97,26.48,-0.11,1.62,1.11,10.21
31.9,24,28.47,26.24,0,1.07,0.26,10.21
10.01,28.18,28.34,28.26,-1.27,-2.55,0,0
0.54,28.09,28.35,28.22,-1.25,-3.19,0,0
0.54,27.22,28.15,27.68,-0.85,-3.32,0,0
0.54,26.9,27.95,27.43,-0.7,-3.69,0,0
0.54,26.63,27.77,27.2,-0.56,-4.1,0,0
0.54,26.36,27.57,26.97,-0.4,-4.36,0,0
0.54,26.1,27.35,26.73,-0.23,-4.64,0,0
0.54,25.83,27.14,26.49,-0.07,-4.8,0,0
0.54,25.58,26.94,26.26,0.04,-5.16,0,0
0.54,25.29,26.73,26.01,0.21,-5.54,0,0
0.54,25.04,26.51,25.78,0.37,-5.6,0,0
0.54,24.92,26.32,25.62,0.42,-5.18,0,0
0.54,25,26.27,25.63,-0.3,-4.34,0,0
0.54,25.57,26.82,26.2,-3.37,-3.18,0,0
0.54,26.92,27.89,27.4,-6.43,-2.33,0,0
0.54,28.33,29.03,28.68,-7.27,-1.57,0,0
0.54,29.29,29.77,29.53,-5.71,-1.06,0,0
0.54,30.1,30.38,30.24,-5.42,-1.09,0,0
0.54,30.56,30.94,30.75,-5.48,-1.57,0,0
0.54,30.77,31.36,31.06,-5.5,-2.24,0,0
0.54,30.81,31.64,31.23,-5.36,-2.91,0,0
0.54,30.7,31.65,31.18,-4.34,-3.36,0,0
0.54,30.48,31.49,30.99,-3.53,-3.62,0,0
0.54,30.04,30.99,30.51,-1.75,-3.52,0,0
0.54,29.64,30.64,30.14,-1.92,-3.41,0,0
0.54,29.38,30.38,29.88,-1.9,-3.35,0,0
0.54,29.13,30.14,29.63,-1.81,-3.51,0,0
0.54,28.82,29.91,29.37,-1.66,-3.84,0,0
0.54,28.47,29.66,29.06,-1.42,-4.42,0,0
0.54,28.08,29.38,28.73,-1.17,-5.06,0,0
0.54,27.6,29.09,28.35,-0.89,-5.68,0,0
0.54,27.2,28.79,28,-0.63,-6.13,0,0
0.54,26.84,28.5,27.67,-0.4,-6.46,0,0
0.54,26.84,28.28,27.56,-0.38,-4.96,0,0
0.54,26.94,28.13,27.54,-0.49,-4.46,0,0
0.54,26.71,27.94,27.32,-0.29,-4.43,0,0
0.54,26.66,27.83,27.25,-0.59,-4.1,0,0
0.54,26.98,28.1,27.54,-2.32,-3.12,0,0
0.54,27.84,28.83,28.33,-4.44,-2.16,0,0
0.54,28.89,29.62,29.25,-5.21,-1.26,0,0
0.54,29.91,30.53,30.22,-6.04,-1.06,0,0
0.54,30.61,31.02,30.82,-4.61,-1.25,0,0
0.54,31.09,31.6,31.34,-5.54,-1.88,0,0
0.54,31.29,31.96,31.63,-4.97,-2.34,0,0
0.54,31.16,31.92,31.54,-3.83,-2.65,0,0
0.54,31.2,32.15,31.68,-4.99,-2.97,0,0
0.54,31.08,32.05,31.56,-3.51,-3.46,0,0
0.54,30.53,31.53,31.03,-1.7,-3.75,0,0
0.54,29.98,31.15,30.57,-1.77,-4.29,0,0
0.54,29.52,30.82,30.17,-1.64,-4.65,0,0
0.54,29.15,30.53,29.84,-1.49,-5,0,0
0.54,28.84,30.24,29.54,-1.31,-5.06,0,0
0.54,28.57,29.97,29.27,-1.14,-5.14,0,0
0.54,28.33,29.71,29.02,-0.98,-5.04,0,0
0.54,28.15,29.49,28.82,-0.87,-4.95,0,0
0.54,28,29.29,28.65,-0.77,-4.63,0,0
0.54,27.86,29.1,28.48,-0.67,-4.55,0,0
0.54,27.47,28.85,28.16,-0.4,-5.37,0,0
1.67,23.97,28.28,26.12,1.47,-3.59,0,0
0.54,24,27.7,25.85,1.5,-3.35,0,0
20.74,24,27.59,25.79,0.13,-2.5,-0.05,10.21
23.72,24,27.91,25.95,-1.83,-1.01,-0.26,10.21
32.81,24,28.73,26.36,-4.41,0.72,1,10.21
37.74,24,29.47,26.73,-4.27,2.38,2.82,10.21
42.53,24,29.85,26.92,-2.75,3.49,3.9,10.21
43.91,24,30.08,27.04,-2.33,3.91,2.69,10.21
45.66,24,30.2,27.1,-1.88,3.7,2.34,10.21
49.4,24,30.24,27.12,-2.02,3.15,3.91,10.21
48.26,24,30.13,27.07,-1.56,2.42,3.35,10.21
44.99,24,29.78,26.89,-0.64,1.73,2.03,10.21
39.32,24,29.43,26.71,-0.37,1.03,0.6,10.21
33.85,24,28.87,26.44,0.71,0.45,0.12,10.21
10.01,27.71,28.68,28.2,-0.73,-2.65,0,0
